entity,n-authors,n-revs
/trunk/src/jmt/gui/jwat/MainJwatWizard.java,4,15
/trunk/src/jmt/gui/jwat/workloadAnalysis/panels/InputPanel.java,4,11
/trunk/src/jmt/gui/jwat/workloadAnalysis/clustering/fuzzyKMean/panels/FuzzyClusterDetails.java,4,5
/trunk/pom.xml,3,22
/trunk/src/jmt/gui/common/startScreen/GraphStartScreen.java,3,15
/trunk/src/jmt/gui/jwat/JWatMainPanel.java,3,11
/trunk/src/main/java/jmt/gui/common/editors/StatisticalOutputsWindow.java,3,10
/trunk/src/main/java/jmt/jmva/gui/exact/ExactWizard.java,3,9
/trunk/src/jmt/gui/jwat/workloadAnalysis/panels/LoadDemoPanel.java,3,9
/trunk/src/jmt/engine/jwat/input/Loader.java,3,8
/trunk/src/jmt/gui/jwat/trafficAnalysis/panels/TextualPanel.java,3,7
/trunk/src/main/resources/jmt/common/globalsettings.conf,3,7
/trunk/src/jmt/gui/jwat/trafficAnalysis/panels/InputPanel.java,3,7
/trunk/src/main/java/jmt/jmarkov/MMQueues.java,3,7
/trunk/src/main/java/jmt/gui/exact/table/ExactTable.java,3,6
/trunk/src/jmt/gui/jwat/workloadAnalysis/panels/StatsPanel.java,3,6
/trunk/src/jmt/gui/jwat/workloadAnalysis/panels/ClusteringInfoPanel.java,3,6
/trunk/src/jmt/engine/jwat/trafficAnalysis/ModelTrafficAnalysis.java,3,6
/trunk/src/main/java/jmt/jmva/gui/exact/panels/VisitsPanel.java,3,6
/trunk/src/jmt/gui/jwat/workloadAnalysis/panels/ClusterPanel.java,3,6
/trunk/src/main/java/jmt/jmva/gui/exact/panels/ReferenceStationPanel.java,3,6
/trunk/src/main/java/jmt/gui/common/xml/XMLReader.java,3,5
/trunk/src/jmt/gui/jwat/workloadAnalysis/chart/KMeanScatter.java,3,5
/trunk/src/jmt/gui/jwat/workloadAnalysis/clustering/fuzzyKMean/panels/DispersionFuzzyPanel.java,3,5
/trunk/src/main/java/jmt/engine/QueueNet/LinkedJobInfoList.java,3,5
/trunk/src/main/java/jmt/gui/common/xml/XMLWriter.java,3,5
/trunk/src/jmt/gui/jwat/workloadAnalysis/clustering/kMean/panels/KMeansInfoCluster.java,3,5
/trunk/src/jmt/engine/jwat/JwatSession.java,3,5
/trunk/src/jmt/gui/jwat/workloadAnalysis/chart/KFuzzyScatter.java,3,5
/trunk/src/jmt/gui/jwat/workloadAnalysis/chart/KMeanSingleClusterScatter.java,3,5
